name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
L. Gechter CB,18,68,82,"Eintracht Braunschweig
Jun 30, 2023 On loan",264589,"190cm / 6'3""",80kg / 176lbs,Right,70,CB,14,€2.6M,€3K,€0,231,40,26,69,59,37,212,43,30,35,55,49,301,61,70,52,63,55,292,50,70,68,76,28,235,58,67,28,45,37,58,209,69,72,68,45,14,6,8,6,11,1525,334,1,66,32,49,48,69
Ilias RW,18,67,83,"FC Barcelona
2021 ~ 2023",265578,"175cm / 5'9""",70kg / 154lbs,Left,68,CAM,16,€2.6M,€15K,€7M,283,66,68,38,68,43,306,72,55,58,52,69,345,74,69,76,59,67,270,61,48,49,47,65,232,46,15,59,61,51,58,67,15,24,28,45,6,12,9,6,12,1548,335,1,71,63,63,70,21
G. Buffon GK,44,77,77,"Parma
2021 ~ 2024",1179,"192cm / 6'4""",92kg / 203lbs,Right,77,GK,0,€1.2M,€3K,€1.9M,95,13,15,13,37,17,122,26,20,13,35,28,233,33,27,50,74,49,233,52,69,34,65,13,150,38,28,12,50,22,70,35,13,11,11,376,73,73,69,86,75,1244,407,4,73,73,69,75,31
C. Vela RW LW ST,33,81,81,"Los Angeles FC
2018 ~ 2023",169416,"177cm / 5'10""",77kg / 170lbs,Left,81,RW,0,€16M,€14K,€24M,383,76,80,67,78,82,387,83,84,71,65,84,398,79,76,79,81,83,353,76,67,62,67,81,324,57,32,82,81,72,82,64,31,19,14,53,8,14,8,13,10,1962,409,3,77,79,76,83,30
A. Sánchez ST,33,80,80,"Olympique de Marseille
2022 ~ 2023",184941,"169cm / 5'7""",62kg / 137lbs,Right,82,CAM,0,€13.5M,€51K,€25.7M,392,80,81,69,79,83,407,85,83,80,75,84,403,75,72,87,79,90,382,82,85,66,65,84,358,67,52,87,83,69,82,124,45,44,35,60,10,10,15,12,13,2126,435,4,73,82,80,85,48
İ. Gündoğan CM CDM,31,85,85,"Manchester City
2016 ~ 2023",186942,"180cm / 5'11""",80kg / 176lbs,Right,85,CM,0,€44M,€185K,€81.4M,370,77,80,50,88,75,425,85,86,80,84,90,368,66,63,77,85,77,367,79,61,74,73,80,394,70,75,83,86,80,87,219,77,75,67,48,11,14,5,5,13,2191,457,3,64,80,84,85,72
Coutinho CAM LW CM,30,80,80,"Aston Villa
2022 ~ 2026",189242,"172cm / 5'8""",68kg / 150lbs,Right,80,CAM,0,€20.5M,€88K,€39M,359,77,74,48,82,78,410,82,86,82,75,85,387,74,52,91,78,92,325,77,58,55,52,83,341,59,49,80,81,72,79,156,55,54,47,48,12,7,9,14,6,2026,409,4,62,77,80,84,52
T. Delaney CDM CM,30,80,80,"TSG Hoffenheim
Jun 30, 2023 On loan",193283,"182cm / 6'0""",79kg / 174lbs,Left,80,CDM,0,€17.5M,€31K,€0,361,68,68,81,77,67,364,71,71,68,79,75,365,73,71,72,77,72,403,78,91,84,77,73,373,85,82,75,71,60,78,243,82,80,81,60,8,12,11,14,15,2169,452,2,72,71,74,73,81
A. Griezmann ST CF LM,31,86,86,"Atlético Madrid
2022 ~ 2026",194765,"176cm / 5'9""",73kg / 161lbs,Left,86,ST,0,€57.5M,€105K,€117.9M,421,82,87,83,84,85,427,86,87,85,81,88,418,80,80,88,87,83,412,84,87,86,69,86,386,74,57,89,87,79,89,168,45,63,60,63,14,8,14,13,14,2295,470,4,80,86,84,87,58
H. Son LW,29,88,88,"Tottenham Hotspur
2015 ~ 2025",200104,"183cm / 6'0""",78kg / 172lbs,Right,88,LW,0,€89.5M,€230K,€170.1M,402,83,91,68,81,79,403,86,87,74,74,82,422,85,88,82,91,76,389,88,60,88,64,89,346,62,39,91,81,73,89,114,47,34,33,53,11,13,13,6,10,2129,451,4,87,89,80,84,42
K. Koulibaly CB,31,84,84,"Chelsea
2022 ~ 2026",201024,"186cm / 6'1""",89kg / 196lbs,Right,84,CB,0,€29M,€140K,€55.1M,293,50,43,81,71,48,303,70,53,39,69,72,320,68,88,48,83,33,346,67,81,68,92,38,331,83,83,50,65,50,82,254,86,85,83,43,7,11,7,13,5,1890,426,3,79,48,63,68,84
J. Pickford GK,28,82,84,"Everton
2017 ~ 2024",204935,"185cm / 6'1""",77kg / 170lbs,Left,82,GK,2,€26M,€45K,€51.4M,129,17,19,15,58,20,148,14,18,16,60,40,289,56,44,57,77,55,270,65,77,45,70,13,201,45,24,18,69,45,65,53,21,20,12,414,83,77,87,80,87,1504,465,3,83,77,87,87,51
S. Gnabry RM LM ST,26,84,84,"FC Bayern München
2017 ~ 2026",206113,"176cm / 5'9""",77kg / 170lbs,Right,84,RM,0,€46M,€90K,€75.9M,369,77,85,42,82,83,376,85,74,62,73,82,417,84,79,85,81,88,368,87,55,75,69,82,337,63,38,85,81,70,82,132,45,44,43,50,14,10,10,9,7,2049,439,3,81,84,78,84,43
L. Paredes CM CDM,28,79,79,"Juventus
Jun 30, 2023 On loan",207439,"180cm / 5'11""",75kg / 165lbs,Right,79,CM,0,€17.5M,€82K,€0,341,77,52,56,85,71,412,81,83,78,85,85,344,65,65,69,70,75,373,86,65,75,75,72,373,87,74,62,86,64,82,222,70,75,77,48,9,14,6,9,10,2113,442,2,65,65,83,80,72
H. Ziyech RW CAM,29,81,81,"Chelsea
2020 ~ 2025",208670,"181cm / 5'11""",65kg / 143lbs,Left,81,RW,0,€25.5M,€130K,€48.5M,367,85,72,52,84,74,419,83,90,78,85,83,392,78,74,82,80,78,323,81,33,72,58,79,353,73,51,78,84,67,79,142,44,57,41,51,11,7,11,8,14,2047,430,3,76,75,84,82,50
M. Salah RW,30,89,89,"Liverpool
2017 ~ 2025",209331,"175cm / 5'9""",71kg / 157lbs,Left,89,RW,0,€99.5M,€260K,€184.1M,398,80,92,59,84,83,404,88,84,69,77,86,450,89,89,89,92,91,398,82,69,87,76,84,374,63,55,91,84,81,90,122,38,43,41,62,14,14,9,11,14,2208,466,4,89,87,81,88,45
R. Guerreiro LB LM CM,28,83,83,"Borussia Dortmund
2016 ~ 2023",209889,"170cm / 5'7""",71kg / 157lbs,Left,85,CAM,0,€33M,€63K,€56.1M,374,85,77,44,89,79,428,87,85,82,85,89,405,79,58,90,88,90,342,79,52,78,49,84,348,45,85,79,85,54,86,234,79,78,77,45,12,6,8,11,8,2176,451,3,67,78,86,88,76
H. Mukhtar CF ST CAM,27,79,79,"Nashville SC
2020 ~ 2025",210021,"173cm / 5'8""",71kg / 157lbs,Right,80,CAM,0,€19M,€13K,€28.5M,333,73,78,45,82,55,391,79,75,77,75,85,415,82,82,87,79,85,365,75,69,87,60,74,316,42,43,80,78,73,79,131,43,44,44,55,15,10,9,9,12,2006,425,1,82,75,78,82,44
C. Lykogiannis LB LM LWB,28,72,72,"Bologna
2022 ~ 2024",210381,"190cm / 6'3""",87kg / 192lbs,Left,72,LB,0,€2.1M,€21K,€3.6M,308,69,62,52,70,55,352,69,71,73,67,72,327,75,87,48,66,51,373,84,61,72,82,74,305,56,70,63,58,58,64,208,67,72,69,52,9,7,10,14,12,1925,425,1,82,68,67,67,68
Otávio RM LM,27,82,82,"Porto
2014 ~ 2025",210411,"171cm / 5'7""",67kg / 148lbs,Right,82,RM,0,€32.5M,€21K,€65M,356,79,69,57,82,69,401,86,80,72,78,85,407,81,76,85,82,83,348,73,59,86,62,68,375,80,63,77,83,72,81,199,66,73,60,57,11,12,9,10,15,2143,450,1,78,70,80,85,66
S. Al Dawsari LW RW,30,77,77,"Al Hilal
2011 ~ 2025",210602,"172cm / 5'8""",71kg / 157lbs,Right,77,LW,0,€10M,€42K,€17M,344,68,73,55,72,76,357,82,67,60,69,79,413,84,85,80,77,87,357,74,44,88,77,74,345,81,50,74,72,68,76,154,62,41,51,56,7,12,13,14,10,2026,440,1,85,73,70,81,52
P. Dybala CF CAM,28,86,86,"Roma
2022 ~ 2025",211110,"177cm / 5'10""",75kg / 165lbs,Left,87,CAM,0,€69.5M,€130K,€118.2M,397,82,83,58,86,88,439,90,89,88,79,93,417,84,76,88,79,90,380,84,74,73,60,89,345,43,42,82,91,87,79,112,32,41,39,26,5,4,4,5,8,2116,441,3,80,85,85,90,40
A. Martial ST,26,80,81,"Manchester United
2015 ~ 2024",211300,"184cm / 6'0""",76kg / 168lbs,Right,80,ST,1,€25M,€125K,€49.4M,373,70,79,70,78,76,370,87,84,54,60,85,397,82,79,79,78,79,356,82,70,57,74,73,323,54,34,78,77,80,82,90,26,33,31,51,9,8,8,15,11,1960,417,3,80,78,73,85,35
S. Boufal CF LM ST,28,76,76,"Morocco
Free",211381,"175cm / 5'9""",67kg / 148lbs,Right,78,CAM,0,€0,€0,€0,332,72,71,38,79,72,375,85,76,64,70,80,397,81,77,86,69,84,291,71,35,60,57,68,301,51,23,76,79,72,73,95,18,42,35,56,9,16,10,14,7,1847,392,2,79,71,75,82,30
T. Werner ST LW,26,82,83,"RB Leipzig
2022 ~ 2026",212188,"180cm / 5'11""",76kg / 168lbs,Right,82,ST,1,€36.5M,€73K,€64.8M,383,69,78,75,79,82,348,82,70,58,55,83,423,93,90,79,85,76,382,85,75,81,64,77,332,63,37,86,68,78,79,78,39,20,19,50,9,9,8,15,9,1996,427,3,91,80,70,82,35
G. Kamara CM CDM,26,73,74,"Rangers
2019 ~ 2025",213654,"183cm / 6'0""",73kg / 161lbs,Right,75,CDM,1,€3.6M,€39K,€6.8M,306,58,56,57,77,58,328,74,59,47,71,77,386,73,77,80,73,83,350,71,65,86,70,58,335,72,73,64,73,53,77,216,74,73,69,52,8,14,12,11,7,1973,425,1,75,60,69,76,71
S. Fofana CM,27,81,81,"Lens
2020 ~ 2024",216320,"185cm / 6'1""",74kg / 163lbs,Right,81,CM,0,€27.5M,€43K,€52.3M,344,62,74,58,82,68,375,81,72,62,78,82,364,73,73,69,82,67,407,83,62,91,87,84,371,79,79,78,79,56,82,219,68,80,71,47,9,8,9,11,10,2127,463,2,73,77,75,80,73
R. Tapia CDM CM CB,26,79,81,"Celta de Vigo
2020 ~ 2024",220673,"185cm / 6'1""",80kg / 176lbs,Right,80,CDM,2,€19.5M,€26K,€42.4M,342,65,62,73,78,64,331,66,65,54,75,71,352,69,67,66,73,77,386,78,76,86,86,60,361,79,77,68,69,68,70,240,76,84,80,60,16,14,7,15,8,2072,437,1,68,66,71,69,79
U. Garcia LB,26,72,73,"Young Boys
2018 ~ 2024",223143,"183cm / 6'0""",80kg / 176lbs,Left,72,LB,1,€2.5M,€15K,€3.9M,267,73,40,56,70,28,292,71,60,31,61,69,373,82,80,75,65,71,316,44,66,83,79,44,265,64,65,57,45,34,52,203,65,69,69,58,8,13,11,12,14,1774,397,1,81,42,62,70,66
M. Acuña LB LM,30,85,85,"Sevilla
2020 ~ 2024",224334,"172cm / 5'8""",69kg / 152lbs,Left,85,LB,0,€46.5M,€46K,€97.7M,365,86,66,61,85,67,413,87,88,75,77,86,411,77,76,83,85,90,400,83,63,91,82,81,403,84,81,80,82,76,87,250,81,85,84,62,8,14,13,13,14,2304,484,2,76,74,83,86,81
K. Laimer CDM CM,25,83,84,"RB Leipzig
2017 ~ 2023",225375,"180cm / 5'11""",72kg / 159lbs,Right,83,CDM,1,€38.5M,€64K,€68.3M,356,78,69,69,80,60,353,79,70,47,77,80,392,82,78,76,82,74,374,74,73,90,69,68,380,89,86,73,78,54,79,242,85,81,76,58,9,12,12,13,12,2155,465,2,80,69,77,79,82
Marcos Llorente RM CM RB,27,84,84,"Atlético Madrid
2019 ~ 2027",226161,"184cm / 6'0""",74kg / 163lbs,Right,84,RM,0,€45M,€81K,€92.3M,370,73,80,67,84,66,384,82,75,63,80,84,407,85,90,82,82,68,397,84,69,90,77,77,390,80,81,82,82,65,81,232,79,79,74,51,13,6,6,11,15,2231,486,3,88,79,79,82,78
W. Ndidi CDM CM,25,81,82,"Leicester City
2017 ~ 2024",226790,"183cm / 6'0""",74kg / 163lbs,Right,82,CB,1,€27.5M,€82K,€54.3M,313,53,50,68,76,66,333,65,60,60,73,75,345,64,69,65,81,66,402,80,89,87,79,67,344,85,83,64,56,56,76,251,84,86,81,54,13,14,7,7,13,2042,428,1,67,61,65,69,83
L. Pellegrini CAM CM CF,26,83,85,"Roma
2017 ~ 2026",228251,"186cm / 6'1""",77kg / 170lbs,Right,86,CM,2,€45M,€88K,€79.9M,385,74,75,74,88,74,403,80,74,79,83,87,405,79,79,80,85,82,389,79,70,90,74,76,393,74,72,80,87,80,84,222,73,76,73,53,12,7,10,13,11,2250,473,2,79,76,83,83,74
M. Johnston RWB RB,18,64,84,"Motherwell
2019 ~ 2023",258036,"179cm / 5'10""",72kg / 159lbs,Right,64,RWB,20,€1.5M,€500,€4.1M,235,61,31,48,60,35,257,56,57,35,52,57,355,80,78,69,55,73,266,37,60,73,60,36,242,54,54,49,53,32,52,179,55,63,61,57,13,9,11,10,14,1591,346,1,79,34,56,58,57
Hugo Novoa RM CF,19,69,82,"Basel
Jun 30, 2024 On loan",258041,"182cm / 6'0""",70kg / 154lbs,Right,71,ST,13,€3.3M,€12K,€0,307,54,72,65,54,62,284,74,51,38,48,73,395,85,90,78,67,75,295,67,65,60,41,62,262,40,32,71,59,60,57,99,38,35,26,55,15,9,14,7,10,1697,366,1,88,68,53,73,37
J. Oosterwolde LB LM CB,21,68,79,"Fenerbahçe
2023 ~ 2027",258168,"189cm / 6'2""",74kg / 163lbs,Left,69,LWB,11,€2.6M,€15K,€5.5M,255,66,31,58,64,36,287,68,59,38,58,64,375,90,90,75,55,65,323,63,69,76,74,41,272,63,60,57,51,41,60,188,61,63,64,57,6,13,14,15,9,1757,389,1,90,41,59,66,61
J. Sforza CDM CM,20,70,84,"Newell's Old Boys
2020 ~ 2024",258289,"180cm / 5'11""",76kg / 168lbs,Left,71,CM,14,€3.6M,€6K,€7.7M,300,63,57,56,75,49,338,70,64,64,72,68,347,74,68,64,71,70,335,68,61,78,63,65,311,74,65,58,65,49,68,190,61,65,64,54,10,8,11,13,12,1875,401,1,71,60,69,69,63
E. Matazo CDM CM,20,73,83,"Monaco
2019 ~ 2026",258433,"170cm / 5'7""",67kg / 148lbs,Right,74,CM,10,€6.5M,€23K,€13.7M,281,59,56,56,76,34,330,76,64,43,73,74,367,74,66,77,69,81,348,68,69,69,82,60,322,68,69,66,74,45,74,207,64,72,71,63,14,8,13,14,14,1918,415,1,70,58,70,75,67
K. Aktürkoğlu LM LW,23,76,80,"Galatasaray
2020 ~ 2026",258580,"173cm / 5'8""",71kg / 157lbs,Right,77,CAM,4,€11M,€49K,€21.7M,320,67,75,52,71,55,366,81,75,74,64,72,410,89,80,88,73,80,313,70,45,75,48,75,284,46,28,76,72,62,68,117,33,43,41,47,11,7,12,9,8,1857,396,1,84,72,70,78,38
Gabriel Veron RM LM,19,75,86,"Porto
2022 ~ 2027",259849,"176cm / 5'9""",75kg / 165lbs,Right,76,CAM,11,€12M,€7K,€26.4M,308,67,71,40,72,58,341,81,62,50,69,79,393,85,86,84,70,68,287,63,48,55,55,66,273,40,34,68,67,64,70,75,23,23,29,50,6,11,6,12,15,1727,380,1,86,67,68,79,28
C. Patino CM CDM,18,67,85,"Blackpool
Jun 30, 2023 On loan",260144,"182cm / 6'0""",75kg / 165lbs,Left,69,CM,18,€2.6M,€8K,€0,273,51,46,59,74,43,311,67,61,42,72,69,326,71,58,72,61,64,286,56,60,76,53,41,310,68,61,59,70,52,64,190,59,65,66,52,14,9,12,6,11,1748,370,1,64,48,66,68,62
M. Stroeykens CF ST CAM,17,67,84,"Anderlecht
2020 ~ 2024",260162,"177cm / 5'10""",79kg / 174lbs,Right,69,CAM,17,€2.6M,€2K,€5.5M,305,56,67,53,69,60,317,72,58,53,64,70,361,77,75,75,64,70,326,64,75,59,67,61,258,51,27,60,60,60,62,84,18,38,28,47,7,12,8,13,7,1698,366,1,76,64,63,71,30
I. Ndiaye ST CAM,22,72,81,"Sheffield United
2019 ~ 2024",261188,"180cm / 5'11""",70kg / 154lbs,Right,77,CAM,9,€5.5M,€20K,€11.6M,301,46,75,39,72,69,334,81,69,55,52,77,404,82,84,84,74,80,325,74,46,68,70,67,298,44,40,76,73,65,74,92,42,28,22,46,7,9,7,15,8,1800,395,1,83,72,63,79,35
Andrew GK,21,74,83,"Gil Vicente
2021 ~ 2024",263673,"189cm / 6'2""",76kg / 168lbs,Right,74,GK,9,€8M,€5K,€18.4M,79,9,4,11,41,14,84,12,10,8,37,17,222,47,41,34,68,32,199,51,44,39,53,12,119,24,8,4,62,21,34,35,10,8,17,362,73,72,68,72,77,1100,407,1,73,72,68,77,45
Vitinha ST,22,76,84,"Olympique de Marseille
2023 ~ 2027",263829,"178cm / 5'10""",74kg / 163lbs,Right,78,ST,8,€17M,€34K,€35.7M,345,58,76,75,66,70,313,77,55,48,59,74,379,79,77,72,75,76,390,81,80,79,80,70,328,86,36,76,65,65,72,74,23,29,22,43,5,8,6,9,15,1872,404,1,78,75,62,75,33
A. Ezzalzouli LM RM LW,20,71,83,"Osasuna
Jun 30, 2023 On loan",264432,"177cm / 5'10""",73kg / 161lbs,Right,72,CAM,12,€4.5M,€48K,€0,280,63,70,34,64,49,327,82,65,40,61,79,386,84,80,78,66,78,268,65,42,44,57,60,231,34,18,64,62,53,68,85,25,32,28,39,7,5,6,12,9,1616,363,1,82,65,62,79,27
Ilias RW,18,67,83,"FC Barcelona
2021 ~ 2023",265578,"175cm / 5'9""",70kg / 154lbs,Left,68,CAM,16,€2.6M,€15K,€7M,283,66,68,38,68,43,306,72,55,58,52,69,345,74,69,76,59,67,270,61,48,49,47,65,232,46,15,59,61,51,58,67,15,24,28,45,6,12,9,6,12,1548,335,1,71,63,63,70,21
Tomás Araújo CB,20,70,85,"Gil Vicente
Jun 30, 2023 On loan",266096,"186cm / 6'1""",83kg / 183lbs,Right,72,CB,15,€3.6M,€5K,€0,214,29,25,67,59,34,202,45,30,30,39,58,317,69,72,55,66,55,279,40,73,63,81,22,233,67,70,27,30,39,62,211,66,75,70,52,12,11,7,9,13,1508,336,1,71,29,41,52,70
A. Ibrahimovic CAM LM,16,59,80,"FC Bayern München
2022 ~ 2025",266236,"176cm / 5'9""",71kg / 157lbs,Right,61,ST,21,€700K,€1K,€1.9M,294,55,60,57,57,65,293,62,64,55,46,66,305,63,56,71,45,70,261,65,46,41,48,61,252,48,24,61,59,60,48,70,19,23,28,52,12,12,10,10,8,1527,312,1,59,62,56,63,26
B. Doak RW,16,62,84,"Liverpool
2022 ~ 2026",266815,"176cm / 5'9""",64kg / 141lbs,Right,62,RW,22,€1.2M,€3K,€3.4M,247,56,56,41,53,41,250,67,50,33,36,64,371,85,78,82,50,76,230,58,38,58,40,36,237,48,28,58,55,48,60,73,18,30,25,46,13,6,10,5,12,1454,322,1,81,51,50,67,27
Henrique Araújo ST,20,71,85,"Watford
Jun 30, 2023 On loan",266905,"182cm / 6'0""",72kg / 159lbs,Right,73,ST,14,€4.5M,€7K,€0,315,47,73,72,62,61,293,66,69,42,48,68,330,73,68,50,72,67,359,74,78,68,75,64,275,59,14,72,61,69,61,69,21,27,21,46,8,8,11,9,10,1687,359,1,70,71,56,65,27
M. Perrone CM CDM,19,71,84,"Manchester City
2023 ~ 2028",267991,"178cm / 5'10""",64kg / 141lbs,Left,73,CM,13,€4.4M,€33K,€10.9M,285,49,54,57,75,50,314,74,55,35,73,77,343,69,65,76,61,72,295,59,49,77,58,52,300,52,68,65,71,44,63,202,70,67,65,56,11,10,15,9,11,1795,389,1,67,54,66,74,67
B. Al Rawi CB,24,68,73,"Qatar
Free",268782,"175cm / 5'9""",74kg / 163lbs,Right,70,CB,5,€0,€0,€0,255,49,38,63,65,40,333,61,72,73,62,65,351,73,71,74,58,75,357,66,88,72,74,57,281,75,62,44,55,45,65,204,65,71,68,48,8,8,9,14,9,1829,384,1,72,48,60,64,66
Diego Moreira LM,17,67,85,"Benfica
2022 ~ 2024",270039,"179cm / 5'10""",73kg / 161lbs,Left,68,LM,18,€2.5M,€600,€6.6M,267,52,60,43,58,54,306,73,61,42,56,74,407,87,86,83,70,81,294,64,44,71,64,51,255,63,22,51,58,61,72,92,28,35,29,47,9,11,6,8,13,1668,371,1,86,58,56,75,31
Ewerton LM RM,25,73,74,"Slavia Praha
2022 ~ 2025",270055,"175cm / 5'9""",73kg / 161lbs,Right,74,CAM,1,€3.6M,€1K,€8.2M,299,72,71,36,66,54,354,78,74,70,56,76,404,84,80,86,69,85,325,69,66,62,54,74,285,62,24,73,70,56,75,82,25,23,34,41,9,10,7,6,9,1790,381,1,82,70,67,78,26
Samuel Soares GK,20,66,83,"Benfica
2021 ~ 2027",270060,"190cm / 6'3""",91kg / 201lbs,Right,66,GK,17,€2M,€2K,€5.3M,93,12,9,14,50,8,115,14,13,13,55,20,264,60,57,57,63,27,252,59,62,33,75,23,131,31,22,8,55,15,24,41,14,13,14,336,66,61,79,61,69,1232,395,1,66,61,79,69,59
A. Gray CM CAM,16,60,84,"Leeds United
2021 ~ 2024",270208,"185cm / 6'1""",70kg / 154lbs,Right,62,CAM,24,€775K,€750,€2.2M,268,49,45,54,65,55,299,62,59,53,62,63,335,72,69,69,60,65,272,55,59,54,63,41,289,59,57,58,60,55,62,165,57,55,53,51,15,12,13,6,5,1679,356,1,70,48,59,63,56
Joan González CM,20,70,84,"Lecce
2022 ~ 2027",271196,"188cm / 6'2""",80kg / 176lbs,Right,72,CM,14,€3.8M,€7K,€9.2M,302,58,59,63,74,48,337,69,66,58,72,72,305,70,62,58,67,48,357,72,72,80,74,59,332,76,59,72,70,55,70,157,42,53,62,57,12,14,9,14,8,1847,394,1,66,62,69,68,53
Andrey Santos CM CDM,18,70,84,"Chelsea
2023 ~ 2028",273018,"176cm / 5'9""",64kg / 141lbs,Right,73,CAM,14,€3.7M,€16K,€9.2M,296,48,59,67,76,46,305,76,43,40,73,73,352,77,73,74,62,66,311,55,74,66,68,48,313,67,50,71,73,52,56,201,58,70,73,50,5,10,15,12,8,1828,400,1,75,56,66,73,62
O. Gloukh CAM,18,72,84,"Salzburg
2023 ~ 2027",274288,"170cm / 5'7""",63kg / 139lbs,Right,74,CAM,12,€5.5M,€7K,€9.4M,313,65,68,52,73,55,349,76,68,67,64,74,375,76,70,81,63,85,318,71,70,71,37,69,281,45,28,67,75,66,73,102,42,32,28,45,6,8,13,13,5,1783,372,1,73,68,70,76,36
T. Avilés CB CDM,18,64,78,"Racing Club
2023 ~ 2026",274569,"186cm / 6'1""",72kg / 159lbs,Right,66,CB,14,€1.3M,€1K,€2.8M,259,51,41,64,64,39,282,55,60,44,61,62,287,59,60,59,61,48,304,57,58,62,70,57,274,65,63,50,56,40,59,193,64,66,63,52,7,13,13,8,11,1651,354,1,60,48,58,58,64
J. Quintero CAM RM,29,78,78,"Junior
2023 ~ 2023",210513,"168cm / 5'6""",67kg / 148lbs,Left,78,CAM,0,€14M,€6K,€19.6M,347,78,72,44,77,76,411,82,86,84,77,82,383,75,66,80,72,90,309,83,48,50,49,79,332,59,37,76,83,77,83,103,51,30,22,59,14,16,10,7,12,1944,396,2,70,76,79,82,38
D. Berardi RW RM,27,84,84,"Sassuolo
2012 ~ 2027",210935,"183cm / 6'0""",72kg / 159lbs,Left,84,RW,0,€45M,€62K,€76.5M,384,77,82,62,85,78,405,85,78,75,79,88,427,82,82,92,84,87,370,83,65,78,64,80,352,85,25,83,83,76,78,102,42,30,30,27,5,6,5,5,6,2067,438,2,82,81,81,86,36
D. Alli CM CAM,26,75,76,"Beşiktaş
May 31, 2023 On loan",211117,"188cm / 6'2""",80kg / 176lbs,Right,77,ST,1,€6.5M,€36K,€0,381,70,78,78,78,77,368,76,76,60,76,80,337,63,66,69,73,66,359,76,71,66,74,72,362,69,61,77,75,80,77,191,64,65,62,41,7,6,9,11,8,2039,428,3,65,76,75,76,65
B. Bourigeaud RM RW CM,28,81,81,"Rennes
2017 ~ 2026",214097,"178cm / 5'10""",70kg / 154lbs,Right,81,RM,0,€26M,€61K,€49.4M,385,83,75,66,83,78,405,82,80,82,79,82,374,74,75,72,81,72,385,77,72,86,72,78,382,74,73,78,81,76,78,189,63,68,58,62,14,7,15,11,15,2182,455,2,75,76,82,80,66
Á. Correa ST RM CF,27,83,83,"Atlético Madrid
2014 ~ 2026",214997,"171cm / 5'7""",70kg / 154lbs,Right,85,CF,0,€39.5M,€80K,€81M,392,75,86,71,80,80,390,87,82,66,68,87,433,86,85,90,84,88,374,83,53,84,68,86,362,79,48,86,82,67,79,139,42,53,44,56,13,10,9,8,16,2146,456,2,85,84,77,87,50
M. Brozović CDM,29,84,84,"Inter
2016 ~ 2026",216352,"181cm / 5'11""",68kg / 150lbs,Right,84,CDM,0,€36M,€90K,€61.2M,361,73,69,70,84,65,397,78,79,74,83,83,376,68,66,79,79,84,395,80,70,93,68,84,385,86,83,65,82,69,82,244,78,84,82,50,8,8,15,11,8,2208,460,3,67,74,81,80,80
Y. Mina CB,27,76,78,"Everton
2018 ~ 2023",220523,"195cm / 6'5""",94kg / 207lbs,Right,78,CB,2,€8M,€34K,€15.8M,289,43,51,83,71,41,256,59,38,30,69,60,207,33,40,32,71,31,310,68,70,34,88,50,313,79,74,48,56,56,75,232,77,79,76,51,10,8,12,9,12,1658,356,2,37,54,58,57,78
Rúben Neves CDM CM,25,83,86,"Wolverhampton Wanderers
2017 ~ 2024",224293,"180cm / 5'11""",80kg / 176lbs,Right,84,CM,3,€43.5M,€95K,€85.9M,369,80,66,53,88,82,411,75,85,81,88,82,343,64,57,68,81,73,381,86,66,79,67,83,385,82,78,62,87,76,88,233,77,79,77,56,16,12,10,8,10,2178,446,2,60,75,86,77,75
R. Henry LWB LB,24,77,79,"Brentford
2016 ~ 2026",224494,"170cm / 5'7""",66kg / 146lbs,Left,77,LWB,2,€12.5M,€37K,€24.7M,262,68,40,53,68,33,290,71,49,39,57,74,433,91,89,89,74,90,317,44,92,80,65,36,314,76,73,67,55,43,69,224,76,75,73,55,13,12,12,6,12,1895,412,1,90,41,61,75,73
M. Bola LB LWB,24,69,74,"Middlesbrough
2019 ~ 2024",225775,"185cm / 6'1""",78kg / 172lbs,Left,69,LB,5,€2M,€11K,€4M,241,64,33,58,60,26,248,64,46,26,49,63,345,76,74,64,64,67,286,39,64,81,71,31,257,60,66,51,44,36,51,202,65,70,67,64,10,16,6,16,16,1643,364,1,75,35,54,63,66
M. Niakhaté CB,26,78,80,"Nottingham Forest
2022 ~ 2025",225859,"190cm / 6'3""",85kg / 187lbs,Left,80,CB,2,€15.5M,€57K,€30.6M,296,66,37,81,73,39,281,69,41,36,70,65,351,69,87,66,77,52,310,49,77,63,83,38,339,79,79,49,58,74,73,233,77,81,75,44,9,14,6,8,7,1854,409,2,79,42,65,67,79
M. Cash RB RWB,24,79,82,"Aston Villa
2020 ~ 2027",227174,"185cm / 6'1""",74kg / 163lbs,Right,80,RWB,3,€22M,€65K,€43.5M,314,77,67,49,73,48,334,75,66,48,71,74,389,79,80,78,78,74,373,77,77,87,68,64,340,82,76,71,67,44,72,232,77,77,78,65,15,16,13,13,8,2047,443,2,80,67,71,75,74
